Date,Time,Fiscal Import,Fiscal Export,Fiscal Check Import,Fiscal Check Export,M2 - Generator Import,M2 - Generator Export,M3 - CHP,M4 - Pellet Line,M14 - Pellet Line New,M5 - KMH,M10 - Belt Dryer,M11b - Emergency Generator,M12 - Hot Water,EFS 18 (G3),ORC - Total Parallel Time,P2 - ORC Heat Meter,RHI P4 - Balance Cooler Heat Meter,RHI P6 - Drier Heat Meter,G2 Dryer Heat Meter,P8 - Economiser Heat Meter,P9 - Condensor Heat Meter,condinsate Totalizer (m3/h),Water,Caustic Tank,,Turbine Uptime [%],Generated Power [MWh],Exported Power [MWh],Power Imported [MWH],Power Usage Pellet Plant (MWh),Heat Produced (ORC) [MWh],Heat Produced (HRU) [MWh],Heat Consumed [MWh],G2 Heat Consumed [MWh],Water Usage [m3],Balance cooler heat,Condinsate Usage [m3],Caustic Usage [Ltrs],Cobine heat Consumed,heat condenser,Heat Economiser
31/12/2025,23:59:59,261866,22722,261760,22718,334,79241228,29270374,35397700,40253206,4077468,12023689,1543,758535,8713,98592,972327,20919,237659,49840,2489,152277,160242,89972,5300,,,,,,,,,,,,,,,,,
01/01/2026,23:59:59,262041,22722,261934,22718,334,79298637,29288483,35430105,40261864,4080595,12029952,1543,759102,8750,98616,972604,20921,237947,49897,2506,152325,160280,89982,5300,,1,57.409,0,17.5,41.063,277,65,288,57,10,2,38,0,345,48,17
02/01/2026,23:59:59,262241,22724,262134,22719,334,79349271,29304980,35459959,40269560,4084956,12035607,1543,759682,8788,98638,972850,20924,238210,49951,2514,152370,160316,90008,5200,,0.9166666666666666,50.634,0.2,20,37.55,246,53,263,54,26,3,36,100,317,45,8
03/01/2026,23:59:59,262425,22724,262319,22719,334,79405910,29322713,35492074,40278214,4089116,12041717,1543,760265,8827,98662,973124,20925,238501,50010,2515,152426,160360,90018,5200,,1,56.639,0,18.4,40.769,274,57,291,59,10,1,44,0,350,56,1
04/01/2026,23:59:59,262607,22724,262500,22719,334,79462928,29340657,35524861,40287378,4092518,12048030,1543,760854,8865,98686,973401,20926,238794,50069,2516,152481,160401,90028,5200,,1,57.018,0,18.2,41.951,277,56,293,59,10,1,41,0,352,55,1
05/01/2026,23:59:59,262804,22727,262697,22722,334,79519592,29358658,35556984,40296075,4097063,12054287,1543,761445,8910,98710,973673,20928,239088,50130,2516,152541,160448,90039,5200,,1,56.664,0.3,19.7,40.82,272,60,294,61,11,2,47,0,355,60,0
06/01/2026,23:59:59,262979,22727,262872,22723,334,79576163,29376794,35588609,40304718,4100002,12060505,1543,762035,8953,98734,973944,20929,239375,50193,2520,152601,160494,90054,5200,,1,56.571,0,17.5,40.268,271,64,287,63,15,1,46,0,350,60,4
07/01/2026,23:59:59,263055,22842,262948,22838,334,79631074,29394676,35604853,40309440,4101728,12066684,1543,762647,8973,98758,974208,20935,239675,50253,2529,152679,160568,90072,5100,,1,54.911,11.5,7.6,20.966,264,87,300,60,18,6,74,100,360,78,9
08/01/2026,23:59:59,263235,22856,263129,22851,334,79683897,29411678,35633587,40317519,4103766,12072230,1543,763304,9012,98782,974462,20937,239959,50328,2548,152755,160645,90079,5100,,1,52.823,1.4,18,36.813,254,95,284,75,7,2,77,0,359,76,19
09/01/2026,23:59:59,263396,22858,263290,22853,334,79739125,29428996,35661282,40325711,4106584,12077359,1543,763987,9059,98806,974727,20938,240246,50413,2568,152838,160727,90100,5100,,1,55.228,0.2,16.1,35.887,265,103,287,85,21,1,82,0,372,83,20
